error_group,id,label,prediction,ai_probability,abs_margin_from_0_5,source_dataset,domain,generator
high_confidence_false_positive,external_all_samples_000044,0,1,0.9833333333333332,0.48333333333333317,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000161,0,1,0.9666666666666668,0.4666666666666668,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000096,0,1,0.95,0.44999999999999996,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000053,0,1,0.9133333333333332,0.4133333333333332,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000293,0,1,0.8266666666666667,0.32666666666666666,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000267,0,1,0.8166666666666667,0.31666666666666665,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000137,0,1,0.81,0.31000000000000005,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000080,0,1,0.8066666666666666,0.30666666666666664,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000026,0,1,0.8,0.30000000000000004,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000055,0,1,0.7966666666666666,0.29666666666666663,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000255,0,1,0.7933333333333333,0.29333333333333333,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000035,0,1,0.7866666666666666,0.2866666666666666,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000272,0,1,0.78,0.28,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000268,0,1,0.7733333333333333,0.2733333333333333,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000121,0,1,0.77,0.27,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000168,0,1,0.77,0.27,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000133,0,1,0.7666666666666667,0.2666666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000125,0,1,0.7533333333333333,0.2533333333333333,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000017,0,1,0.7533333333333333,0.2533333333333333,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000187,0,1,0.7466666666666667,0.2466666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000252,0,1,0.7433333333333333,0.2433333333333333,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000112,0,1,0.7433333333333333,0.2433333333333333,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000192,0,1,0.7366666666666667,0.2366666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000012,0,1,0.7333333333333333,0.23333333333333328,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000128,0,1,0.7333333333333333,0.23333333333333328,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000237,0,1,0.73,0.22999999999999998,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000032,0,1,0.7266666666666667,0.22666666666666668,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000072,0,1,0.7266666666666667,0.22666666666666668,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000048,0,1,0.7233333333333334,0.22333333333333338,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000218,0,1,0.72,0.21999999999999997,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000239,0,1,0.7166666666666667,0.21666666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000270,0,1,0.7166666666666667,0.21666666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000165,0,1,0.7166666666666667,0.21666666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000236,0,1,0.7166666666666667,0.21666666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000063,0,1,0.71,0.20999999999999996,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000075,0,1,0.7066666666666667,0.20666666666666667,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000198,0,1,0.7033333333333334,0.20333333333333337,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000089,0,1,0.7,0.19999999999999996,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000169,0,1,0.7,0.19999999999999996,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000183,0,1,0.6966666666666667,0.19666666666666666,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000223,0,1,0.6966666666666667,0.19666666666666666,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000090,0,1,0.6966666666666667,0.19666666666666666,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000087,0,1,0.6933333333333334,0.19333333333333336,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000127,0,1,0.6933333333333334,0.19333333333333336,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000004,0,1,0.6933333333333334,0.19333333333333336,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000266,0,1,0.69,0.18999999999999995,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000286,0,1,0.69,0.18999999999999995,external_all_samples,unknown,unknown
high_confidence_false_positive,external_all_samples_000285,0,1,0.69,0.18999999999999995,external_all_samples,unknown,unknown
